id,group,type,start,end,content
1,US President,range,1940-01-01,1945-04-12,Franklin D. Roosevelt
2,US President,range,1945-04-12,1953-01-20,Harry S. Truman
3,US President,range,1953-01-20,1961-01-20,Dwight D. Eisenhower
4,US President,range,1961-01-20,1963-11-22,John F. Kennedy
5,US President,range,1963-11-22,1969-01-20,Lyndon B. Johnson
6,US President,range,1969-01-20,1974-08-09,Richard Nixon
7,US President,range,1974-08-09,1977-01-20,Gerald Ford
8,US President,range,1977-01-20,1981-01-20,Jimmy Carter
9,US President,range,1981-01-20,1989-01-20,Ronald Reagan
10,US President,range,1989-01-20,1993-01-20,George H. W. Bush
11,Wars,range,1941-12-07,1945-09-02,World War II
12,Wars,range,1950-06-25,1953-07-27,Korean War
13,Wars,range,1964-08-04,1975-04-30,Vietnam War
14,Wars,range,2001-10-07,2021-08-30,War in Afghanistan
15,Wars,range,2003-03-20,2011-12-18,Iraq War
16,Events,point,1961-01-17,,President Eisenhower's MIC warning
17,Events,box,1971-01-17,1973-01-17,sample box
18,Events,background,1971-01-17,1973-01-17,sample range
